peptide_target	TCGA-EP-A3JL-01A	TCGA-DD-A3A6-01A	TCGA-UB-A7MA-01A	TCGA-BD-A3ER-01A	TCGA-CC-5261-01A	TCGA-K7-A5RF-01A	TCGA-DD-A4NF-01A	TCGA-DD-A11D-01A	TCGA-G3-A7M9-01A	TCGA-DD-A11B-01A	TCGA-ES-A2HS-01A	TCGA-G3-A25W-01A	TCGA-XR-A8TC-01A	TCGA-DD-A39X-01A	TCGA-CC-A8HT-01A	TCGA-FV-A23B-01A	TCGA-G3-A7M7-01A	TCGA-CC-5262-01A	TCGA-G3-A7M8-01A	TCGA-FV-A4ZP-01A	TCGA-DD-A11C-01A	TCGA-DD-A1ED-01A	TCGA-BC-A10R-01A	TCGA-EP-A2KB-01A	TCGA-G3-A5SK-01A	TCGA-ED-A8O5-01A	TCGA-G3-A5SJ-01A	TCGA-DD-A1EC-01A	TCGA-K7-A5RG-01A	TCGA-UB-A7MD-01A	TCGA-CC-A3MC-01A	TCGA-ED-A7PX-01A	TCGA-MR-A8JO-01A	TCGA-BC-A10U-01A	TCGA-DD-A4NP-01A	TCGA-DD-A114-01A	TCGA-RG-A7D4-01A	TCGA-BC-A3KF-01A	TCGA-G3-A25X-01A	TCGA-BD-A2L6-01A	TCGA-DD-A1EF-01A	TCGA-DD-A4NB-01A	TCGA-PD-A5DF-01A	TCGA-MR-A520-01A	TCGA-BC-A110-01A	TCGA-T1-A6J8-01A	TCGA-DD-A1EB-01A	TCGA-FV-A4ZQ-01A	TCGA-CC-A1HT-01A	TCGA-CC-A8HU-01A	TCGA-GJ-A6C0-01A	TCGA-XR-A8TF-01A	TCGA-G3-A25Y-01A	TCGA-CC-A5UE-01A	TCGA-DD-A1EL-01A	TCGA-DD-A73D-01A	TCGA-ED-A7XO-01A	TCGA-CC-A3MB-01A	TCGA-ED-A66Y-01A	TCGA-G3-A7M6-01A	TCGA-BC-A10Q-01A	TCGA-FV-A3R2-01A	TCGA-G3-A3CG-01A	TCGA-HP-A5MZ-01A	TCGA-G3-A3CK-01A	TCGA-DD-A73G-01A	TCGA-DD-A3A3-01A	TCGA-DD-A4NI-01A	TCGA-DD-AA3A-01A	TCGA-DD-A11A-01A	TCGA-CC-A7IG-01A	TCGA-CC-A3MA-01A	TCGA-CC-5258-01A	TCGA-BC-A69I-01A	TCGA-DD-A1EE-01A	TCGA-BC-A3KG-01A	TCGA-BC-A217-01A	TCGA-DD-A4NO-01A	TCGA-DD-A3A8-01A	TCGA-DD-A73C-01A	TCGA-KR-A7K7-01A	TCGA-DD-A73F-01A	TCGA-DD-A118-01A	TCGA-DD-A1E9-01A	TCGA-ES-A2HT-01A	TCGA-FV-A496-01A	TCGA-G3-A7M5-01A	TCGA-UB-A7MF-01A	TCGA-RC-A6M6-01A	TCGA-ED-A82E-01A	TCGA-ED-A66X-01A	TCGA-UB-A7MB-01A	TCGA-ED-A4XI-01A	TCGA-ED-A7XP-01A	TCGA-DD-A4NA-01A	TCGA-DD-A1EH-01A	TCGA-FV-A2QQ-01A	TCGA-CC-A8HS-01A	TCGA-CC-A123-01A	TCGA-BW-A5NO-01A	TCGA-CC-A7IJ-01A	TCGA-UB-A7MC-01A	TCGA-EP-A3RK-01A	TCGA-DD-A4NH-01A	TCGA-NI-A8LF-01A	TCGA-DD-A39Z-01A	TCGA-EP-A2KA-01A	TCGA-WQ-A9G7-01A	TCGA-G3-A3CH-01A	TCGA-DD-A3A9-01A	TCGA-DD-A115-01A	TCGA-GJ-A9DB-01A	TCGA-BC-A10X-01A	TCGA-BC-A216-01A	TCGA-ED-A459-01A	TCGA-BC-4072-01B	TCGA-DD-A1EJ-01A	TCGA-BW-A5NP-01A	TCGA-BC-A10S-01A	TCGA-CC-A8HV-01A	TCGA-DD-A3A7-01A	TCGA-BC-A10Y-01A	TCGA-EP-A2KC-01A	TCGA-BC-A10Z-01A	TCGA-ED-A7PZ-01A	TCGA-DD-A3A1-01A	TCGA-DD-A4NG-01A	TCGA-CC-A5UC-01A	TCGA-EP-A12J-01A	TCGA-ED-A627-01A	TCGA-DD-A116-01A	TCGA-DD-A4NS-01A	TCGA-CC-5263-01A	TCGA-DD-A3A0-01A	TCGA-YA-A8S7-01A	TCGA-CC-A7IL-01A	TCGA-DD-A4NE-01A	TCGA-G3-A25U-01A	TCGA-BW-A5NQ-01A	TCGA-CC-5260-01A	TCGA-ED-A5KG-01A	TCGA-BD-A3EP-01A	TCGA-CC-A7IF-01A	TCGA-CC-A7IK-01A	TCGA-G3-A25Z-01A	TCGA-DD-A39W-01A	TCGA-DD-A4NK-01A	TCGA-DD-A4NR-01A	TCGA-DD-A73B-01A	TCGA-CC-5264-01A	TCGA-BC-A5W4-01A	TCGA-O8-A75V-01A	TCGA-DD-A119-01A	TCGA-BC-A69H-01A	TCGA-DD-A4NJ-01A	TCGA-HP-A5N0-01A	TCGA-BC-A10T-01A	TCGA-ED-A8O6-01A	TCGA-CC-A3M9-01A	TCGA-ED-A7PY-01A	TCGA-G3-A5SL-01A	TCGA-NI-A4U2-01A	TCGA-CC-A7II-01A	TCGA-DD-A3A4-01A	TCGA-EP-A26S-01A	TCGA-G3-A25S-01A	TCGA-G3-A3CI-01A	TCGA-DD-A4NN-01A	TCGA-DD-A39Y-01A	TCGA-LG-A6GG-01A	TCGA-DD-A4NQ-01A	TCGA-DD-A4ND-01A	TCGA-G3-A5SM-01A	TCGA-FV-A2QR-01A	TCGA-DD-A3A5-01A	TCGA-DD-A73E-01A	TCGA-DD-A39V-01A	TCGA-CC-A7IH-01A	TCGA-G3-A25V-01A	TCGA-BC-A8YO-01A	TCGA-FV-A3R3-01A	TCGA-DD-A3A2-01A	TCGA-CC-A5UD-01A	TCGA-BC-A10W-01A
CHK1_pS296	-0.23043	0.34298	0.27919	-0.40057	-0.063554	-0.35451	-0.23408	-0.095822	0.27842	-0.20861	-0.214	-0.21193	0.023892	-0.25428	-0.058662	-0.3079	-0.37345	-0.15991	-0.48957	0.10038	-0.28651	-0.3708	-0.27554	-0.18085	-0.18863	0.053686	-0.10036	0.093754	-0.3185	-0.29296	-0.050548	0.026237	-0.20503	0.28708	-0.37301	-0.013466	-0.18266	-0.4509	-0.040008	-0.018678	0.066168	-0.011022	-0.25288	-0.37645	-0.14661	-0.34126	-0.22187	-0.17014	0.35336	-0.18792	0.24445	-0.21381	-0.35814	-0.23694	-0.17083	-0.30759	-0.062318	-0.20456	-0.22569	-0.31016	-0.30702	-0.21899	-0.23035	-0.088297	-0.31536	-0.095546	0.21097	-0.31426	0.24399	-0.25926	-0.17008	-0.091652	-0.18742	-0.26844	-0.32546	-0.082189	-0.093665	-0.26528	-0.28997	-0.14583	0.09328	0.060164	0.12	-0.27058	-0.29711	-0.31871	-0.28238	-0.15945	-0.051559	0.14102	0.10562	-0.10188	-0.14452	-0.19906	0.18661	0.0392	-0.12812	-0.084881	-0.19524	-0.050183	0.20845	-0.22781	-0.17962	0.49037	-0.27295	-0.18895	-0.11213	0.055878	-0.16227	-0.11331	-0.22271	-0.031978	-0.54246	0.18534	-0.10129	-0.033156	-0.021748	0.0041908	0.45489	0.042282	-0.023944	-0.17946	-0.23871	-0.050064	-0.013513	0.18499	-0.38256	-0.067947	-0.2583	0.34193	-0.19339	-0.22976	0.14091	-0.19511	0.24281	-0.31603	-0.14106	-0.20154	-0.031202	0.12668	-0.069804	-0.30069	-0.17164	-0.31301	-0.37602	-0.058514	-0.17097	0.072	-0.16571	-0.0081575	-0.23376	-0.33768	-0.24171	-0.11496	-0.16869	-0.36461	-0.27436	0.16493	0.066036	-0.0992	-0.28998	-0.28482	-0.10271	-0.372	-0.37128	-0.29799	-0.52941	-0.04022	0.11988	-0.33357	0.086626	-0.44118	-0.27198	-0.099184	-0.32462	-0.18465	-0.24791	-0.24056	-0.42835	-0.065656	-0.28813	-0.36716	-0.13428	-0.020094
CHK1_pS345	0.059373	-0.21222	-0.42795	0.020734	-0.12755	0.15183	0.0064818	0.017346	-0.01815	-0.056794	-0.076311	0.021716	-0.14961	-0.0017006	-0.12967	0.19625	-0.0030693	-0.042083	0.094024	-0.11105	-0.0097102	0.13085	-0.025035	-0.083764	0.0016545	-0.010896	-0.094654	-0.15137	0.13261	0.022598	-0.17938	-0.30346	0.066956	0.073315	0.11885	-0.038072	0.0056142	0.15391	-0.15995	-0.030325	-0.16748	0.27343	-0.14575	0.11182	0.045477	0.0049937	-0.045415	-0.0024834	-0.62941	0.043453	-0.081994	-0.048563	0.026487	0.0046266	0.007891	0.14259	-0.18412	-0.048823	0.044574	-0.019489	0.05116	0.010144	0.067164	-0.14213	0.066263	-0.14627	-0.13568	0.075582	-0.34399	-0.047261	-0.11631	0.0795	-0.056811	0.052794	-0.051736	0.048022	0.2038	0.046311	0.14263	-0.00946	-0.1641	-0.13968	0.24643	-0.045034	0.026699	0.025145	0.034054	-0.081014	0.10664	-0.15793	-0.28085	0.05047	-0.057953	0.0081541	-0.78509	-0.24305	0.13957	0.13167	0.0078738	0.0077728	-0.25374	-0.11223	-0.016102	-0.7277	0.18089	0.058018	-0.14675	-0.11445	-0.0010044	-0.087768	0.071188	0.030184	0.24562	-0.31801	-0.076896	0.13237	-0.07612	-0.010212	-0.42802	0.080175	0.21723	0.18127	0.018817	0.043115	-0.16735	-0.065081	0.027178	-0.14952	-0.011401	-0.37857	-0.12063	0.090556	-0.35172	0.034255	-0.14803	-0.042736	0.028664	0.16778	-0.055254	-0.32093	-0.00052531	-0.037048	0.013996	0.029909	0.096797	0.027051	-0.025923	-0.094708	0.12108	-0.054819	-0.03692	0.079189	0.067579	-0.081307	0.0018125	0.096927	0.045117	-0.12128	-0.16432	-0.17272	0.069434	0.062144	0.021719	0.14082	0.20669	0.081641	0.2343	-0.10578	0.07427	0.14214	-0.48917	0.10963	-0.034854	0.022484	0.15767	0.048716	0.044536	-0.046798	0.1035	0.088524	0.050926	0.13958	-0.023569	-0.081468
CHK2	-0.32619	-0.52628	-0.29662	-0.3129	-0.33781	-0.15658	-0.1234	-0.45126	0.24607	0.12913	-0.47183	-0.25506	0.67267	-0.24869	-0.0063925	-0.28979	-0.23805	-0.32359	-0.08733	-0.34197	-0.022732	-0.18758	-0.32342	-0.12523	-0.23159	-0.10091	-0.26409	-0.51461	-0.28651	-0.26206	-0.52058	-0.84869	0.60487	-0.62409	-0.099174	-0.16566	-0.26959	-0.10941	-0.042403	-0.3239	-0.42844	-0.54285	-0.3795	-0.11547	-0.48472	-0.38819	-0.27936	-0.24793	-0.60681	0.29148	-0.34125	-0.08014	-0.31133	-0.2986	-0.10156	-0.23925	-0.021377	-0.053503	-0.3509	-0.37399	-0.26973	-0.32302	-0.48602	-0.63908	-0.30012	-0.47425	1.2664	-0.050395	-0.64111	-0.47802	-0.42279	-0.50868	-0.042621	-0.26935	-0.40321	-0.14265	-0.3658	-0.33652	-0.35208	-0.53409	-0.41469	-0.60448	0.035181	-0.35822	-0.27628	-0.49372	-0.25501	-0.056138	-0.34637	-0.80554	-0.27136	-0.12917	-0.43973	-0.40554	-0.47602	-0.064423	-0.48412	0.42104	-0.29659	-0.23911	-0.040677	-0.37067	-0.24579	0.0029148	-0.3203	-0.29214	-0.05883	-0.025807	0.052148	-0.17	-0.2264	-0.5972	-0.35478	0.037183	-0.39597	-0.34039	0.0029947	-0.11668	-1.0896	-0.52314	-0.043308	-0.053591	-0.41743	-0.4584	0.16881	-0.35696	-0.3786	0.46522	-0.32825	-0.76349	-0.51461	-0.35406	-0.064346	-0.35324	-0.32071	-0.45486	-0.4641	0.12894	-0.26384	-0.56393	-0.10962	-0.46134	0.57128	-0.35912	0.10062	-0.30075	-0.34523	-0.40268	-0.40582	-0.43184	-0.33928	-0.28295	0.27668	-0.23795	-0.39445	-0.37148	-0.41337	0.0079953	-0.26131	-0.10014	-0.36721	-0.26807	-0.022051	0.83307	-0.19724	-0.33079	-0.090442	0.27583	-0.35076	-0.3396	-0.047213	-0.088689	-0.33273	-0.65367	-0.24681	-0.18595	-0.3576	-0.37997	-0.25107	-0.67032	0.64306	-0.11414	-0.32396	-0.46876
CHK2_pT68	0.34527	1.1257	0.67065	0.32446	0.33489	0.22501	0.39324	0.46839	0.48055	0.43223	0.42546	0.26824	0.22016	0.46396	0.42494	0.32129	0.33191	0.53104	0.54377	0.51962	0.47478	0.47348	0.42368	0.38557	0.46019	0.41765	0.41413	0.72598	0.35033	0.41772	0.52007	0.42615	0.25946	0.58124	0.35891	0.35641	0.34567	0.31026	0.41969	0.3393	0.46271	0.8467	0.22503	0.34236	0.44311	0.30021	0.57662	0.40755	0.83983	0.33481	0.76426	0.29204	0.3128	0.2869	0.54632	0.32212	0.41237	0.37757	0.29572	0.22547	0.45084	0.40601	0.23356	0.18177	0.42652	0.43677	0.67731	0.34614	0.66429	0.42668	0.36418	0.45628	0.34143	0.28323	0.44755	0.43774	0.51356	0.27621	0.35522	0.44083	0.57218	0.55403	0.63951	0.33347	0.33199	0.38447	0.48433	0.41759	0.40675	0.37195	0.35783	0.35635	0.35279	0.35329	0.62832	0.42805	0.39647	0.38906	0.37845	0.46032	0.413	0.32441	0.41472	0.88281	0.51435	0.39383	0.37167	0.42257	0.44907	0.36895	0.40894	0.40803	0.3799	0.49414	0.42461	0.58928	0.37544	0.38432	0.99849	0.38698	0.53113	0.51723	0.29998	0.42773	0.57322	0.61507	0.22267	0.28954	0.32428	0.77462	0.43456	0.31935	0.61645	0.34649	0.56141	0.36295	0.35011	0.4827	0.36522	0.42589	0.37179	0.35119	0.36405	0.31306	0.27213	0.41582	0.36956	0.39138	0.37175	0.38736	0.29792	0.22103	0.45629	0.2971	0.37647	0.26719	0.65176	0.50296	0.48837	0.54463	0.29688	0.30502	0.74833	0.37247	0.42047	0.46875	0.42432	0.37297	0.49664	0.29006	0.56738	0.27768	0.29988	0.37936	0.34351	0.454	0.56403	0.29582	0.28028	0.33666	0.40983	0.33214	0.42243	0.39998
CIAP	0.065876	-0.48497	0.58946	0.062728	0.12746	-0.020078	0.10233	0.055179	0.17737	0.050952	-0.071185	0.1926	0.44944	0.24962	0.43975	0.15005	0.083683	0.2791	0.067973	0.42887	0.19829	0.069019	0.19089	-0.04495	-0.01268	0.055027	0.31545	0.23316	0.21021	0.052171	0.50266	-0.016227	0.11892	0.049287	0.11214	0.32918	0.048402	0.12891	0.45245	-0.011464	-0.091133	0.032858	0.12538	0.078726	-0.0065362	0.12829	0.067012	0.0088406	0.85086	0.23145	0.063621	0.040785	0.039823	0.22624	0.37257	0.19607	0.20832	-0.03349	0.17908	0.020345	0.16059	0.14024	0.098619	0.24186	0.20504	0.3126	0.62769	0.092158	0.44523	0.14497	-0.025497	0.38446	0.1206	0.13197	0.02088	0.34707	-0.075363	0.22508	0.13579	-0.040691	0.26737	0.107	0.88586	0.003672	0.14932	0.17111	0.11938	0.15989	0.70564	0.26706	-0.027611	0.12086	0.080644	0.33322	0.59425	0.14283	0.065423	0.0082991	-0.060311	-0.0058282	0.0044049	0.13716	0.10832	0.99528	0.032899	0.17741	0.29958	0.59665	0.13411	0.022345	0.057004	0.061272	0.079278	-0.083049	0.26782	0.44178	0.29123	0.050036	-0.16286	-0.044196	0.66647	0.12199	0.13464	-0.0048688	0.27153	0.52577	0.13197	0.066257	-0.057868	0.91779	0.077501	-0.00062996	0.18495	0.069055	0.016968	0.204	0.13178	-0.016741	0.13256	0.11396	0.12152	0.16252	0.1443	0.15004	0.14885	0.085573	0.11288	0.030557	0.27902	-0.034469	0.011014	0.41878	0.18985	0.19269	-0.021089	0.26755	0.24908	-0.056807	-0.35662	0.10517	0.11591	0.066782	-0.031426	0.036382	0.13213	0.062855	0.26025	0.3345	0.22048	0.13813	0.26764	0.056124	0.09716	0.26268	0.18826	0.11314	0.22576	0.060364	0.084098	0.32873	0.13139	0.12469	0.094375	0.53634
CIITA	0.4183605	0.4541729	0.4270658	0.4243227	0.5418838	0.5825518	0.4333594	0.6045211	0.2358829	0.4400331	0.433424	0.4023336	0.2535026	0.4444143	0.3007787	0.2154564	0.4255942	0.5829061	0.5811315	0.2268411	0.6700682	0.4716117	0.3860637	0.5607942	0.388335	0.4885218	0.1924857	0.6486278	0.6207655	0.3890585	0.4317966	0.5605624	0.5534107	0.7407791	0.348333	0.4649127	0.4825256	0.4690882	0.639787	0.6074254	0.6221854	0.2929241	0.4498874	0.4148354	0.4924069	0.4043283	0.4782697	0.653578	0.5111881	0.1975715	0.6553465	0.2131645	0.5482288	0.5484993	0.2462585	0.4660613	0.2821334	0.2634741	0.3392903	0.2907715	0.5012813	0.5066059	0.4048765	0.4864706	0.4152421	0.3451311	0.5572127	0.6883787	0.261725	0.6788458	0.2646875	0.2318168	0.3638482	0.4329712	0.3958026	0.1864654	0.42835	0.4040579	0.4090976	0.5452786	0.4065939	0.3868697	0.3345012	0.2898789	0.5186692	0.3775436	0.4525917	0.326635	0.3260141	0.5107622	0.543427	0.3712379	0.5170097	0.328712	0.4292538	0.5428053	0.4251618	0.117767	0.504747	0.5126209	0.367288	0.3924912	0.4491451	0.5433883	0.3514174	0.3766663	0.4393675	0.1573626	0.2888331	0.5870855	0.3629253	0.4982412	0.5302281	0.2187151	0.489193	0.2293514	0.3912778	0.4459826	0.7399598	0.5871204	0.714653	0.2941762	0.7454784	0.5581093	0.5708625	0.5136536	0.5872753	0.4734191	0.2140876	0.6487892	0.3822292	0.3899235	0.2498051	0.379086	0.2931048	0.4637727	0.3497845	0.3572648	0.2556324	0.508471	0.5001711	0.4398455	0.3035935	0.4856816	0.6098131	0.3575875	0.4084329	0.5637114	0.2985907	0.3997843	0.284147	0.3559934	0.5042957	0.4697658	0.5306423	0.6806916	0.5344361	0.7631367	0.5522179	0.4983381	0.3672181	0.620199	0.255439	0.3878507	0.3237878	0.4607821	0.5663581	0.4674368	0.8744366	0.4570724	0.4201857	0.465887	0.6132533	0.4735286	0.3694764	0.1798034	0.5058377	0.3420204	0.5236959	0.4023662	0.5263105	0.6230575	0.3707738	0.3935883
CJUN_pS73	0.21951	1.0055	0.066066	0.42854	0.13275	0.50749	0.32704	0.10132	-0.31558	0.15634	0.41534	0.17707	-0.086616	0.39413	-0.094454	0.37971	0.35113	0.062371	0.50908	-0.15174	0.34608	0.34871	0.46359	0.20652	0.4767	-0.043116	0.011533	-0.019804	0.34005	0.34199	0.029379	-0.17013	0.2983	0.0053808	0.28619	-0.23229	0.24845	0.40664	-0.023855	-0.077605	0.14141	0.30947	0.14098	0.37725	0.094559	0.46496	0.35396	0.10714	-0.49516	0.15655	0.17789	0.25222	0.43019	0.40474	0.32235	0.41471	-0.007442	0.16885	0.33193	0.30191	0.36061	0.34072	0.16455	0.15289	0.41731	0.17165	-0.029454	0.30657	0.15766	0.23612	0.28293	-0.040378	0.26106	0.34701	0.35385	0.088991	0.37956	0.35222	0.44449	0.26237	0.13112	0.23633	-0.10775	0.20389	0.28844	0.40027	0.21976	0.1014	0.056518	-0.33442	0.17046	-0.10753	0.17603	0.13626	-0.21238	0.018308	0.3097	0.073701	0.32014	0.1156	-0.12967	0.29052	0.25267	-0.63	0.3137	0.23683	0.20996	-0.47803	0.24937	-0.035465	0.37295	0.2276	0.61842	-0.56743	0.23655	-0.055898	-0.072815	0.11379	0.53728	-0.14054	0.21287	0.19542	0.30199	0.18164	-0.027638	0.10712	0.43475	0.061389	0.23753	0.16824	0.27977	0.089753	-0.30387	0.3351	-0.24868	0.30532	0.061027	0.20752	0.069766	-0.15519	0.10101	0.41574	0.11594	0.32224	0.35865	0.21816	0.30744	0.15999	0.18226	0.12174	0.24087	0.40321	0.40623	-0.015526	0.068948	0.29191	0.42544	-0.21422	0.43088	-0.12471	0.46054	0.25348	0.23195	0.41283	0.32456	0.26668	0.46647	0.26426	0.01064	0.40002	-0.057981	0.41084	0.40458	0.014044	0.3179	0.18751	0.40576	0.21583	0.38252	0.0014352	0.41667	0.56062	0.12557	0.11098
CKIT	0.15208	1.607	0.10511	0.30665	0.024303	0.02336	0.22992	0.12792	0.25545	-0.22276	-0.24807	0.028618	-0.083293	-0.13441	0.05675	0.057027	-0.067537	-0.0074949	0.18947	-0.048653	0.015543	0.21193	-0.15809	-0.075459	0.13385	0.29762	0.13976	-0.13385	-0.019591	0.08373	0.014572	1.2216	0.12387	0.27667	0.22613	-0.29928	0.091643	0.16832	0.13727	0.063163	0.063503	0.23514	-0.31028	0.2251	0.20582	0.2049	-0.1715	0.32008	0.057386	-0.23065	0.25002	0.27222	0.074752	-0.088933	-0.18272	0.16807	0.24825	0.15311	0.046732	-0.13869	-0.40376	0.2276	0.1497	0.046351	0.1613	0.092364	0.15437	0.15853	0.16545	-0.031691	-0.090291	0.405	0.066925	0.10594	-0.016556	-0.33774	-0.14222	0.12031	0.095056	0.23608	0.049568	-0.16688	-0.14663	-0.015217	-0.0054787	0.094453	0.087127	0.12091	-0.34768	-0.088508	-0.02532	-0.069114	0.25293	0.21234	0.031443	0.3268	0.12464	0.15101	-0.12854	-0.034527	-0.41427	0.042117	0.19162	0.34858	-0.24623	0.23623	-0.14389	-0.26085	0.31461	0.27684	-0.017756	0.16332	0.15447	-0.20058	-0.27808	-0.066308	0.085368	0.27677	0.67121	0.1988	0.074414	0.13216	0.27627	0.17103	0.34598	0.11128	-0.09548	0.15911	0.087752	-0.28678	-0.16967	0.14641	-0.10381	0.16261	-0.1587	-0.11541	0.27579	-0.14748	0.048429	-0.099033	-0.023655	-0.012598	0.11776	-0.027517	0.049984	0.22912	0.0016345	0.059271	-0.02248	0.095601	-0.14748	0.020317	0.0071395	0.13306	0.29106	0.26272	-0.19911	0.2039	0.1129	0.20837	0.16918	0.1628	-0.071721	0.20093	0.029185	0.096105	0.38423	-0.2708	0.30602	0.044758	0.15989	0.080348	0.12074	0.18542	0.13987	0.2698	0.1516	0.11872	0.003546	0.0633	0.25733	0.16146	0.041154	0.1729
CLAUDIN7	-0.95161	0.18007	-0.051113	-0.9093	0.015729	-0.95721	-1.0224	-0.93663	-0.85889	-1.1207	-1.02	-0.9866	-0.28513	-0.39844	-1.1618	-1.0336	-0.8277	-1.1344	-0.89589	-1.0067	-1.0464	-0.85011	-0.84581	-1.0706	-0.87001	-1.1058	-0.8838	-0.97903	-1.0666	-0.87508	-1.0116	-0.54823	-0.96146	-0.97901	-0.86774	-1.3449	-1.0859	-0.77834	-0.96755	-1.203	-0.91244	-0.90919	-0.94281	-0.94242	-1.0432	-0.78831	-1.0692	-1.1474	-1.2512	-0.81588	-0.93242	-1.1406	-0.85232	-1.0726	-1.0539	-0.93073	-1.2045	-1.0253	-1.0512	-0.63522	-0.94893	-0.99466	-1.081	-1.0838	-0.97313	-1.1303	0.072967	-0.92663	-0.96848	-1.0266	-0.7003	1.5407	-0.98056	-0.92782	-0.91931	-1.2392	-1.215	-0.91785	-0.94414	-1.0103	-0.98216	-1.143	-0.9863	-0.90741	-0.80771	-1.0927	-1.0025	-0.92281	-0.9214	0.90012	0.045989	-1.0021	-0.82792	-0.82453	-1.059	-0.72021	-0.95843	-0.97216	-1.0669	-1.037	-1.5161	-1.1327	-0.95025	-0.10477	-0.97902	-1.0375	-1.045	0.065068	-1.018	-1.0788	-0.9163	-1.0808	-0.89111	-0.92088	-1.0407	-0.82908	-1.1148	-1.0169	-0.71979	0.34461	-0.97567	-1.0307	-0.95366	-0.97103	-0.79483	-1.1675	-1.0382	-1.0173	-1.068	-0.87699	-0.89857	-0.94515	-1.2298	-1.0076	-1.096	-0.96021	-1.0089	-1.1297	-1.1109	0.029682	-0.74391	-1.0382	-0.98147	-0.93155	-0.9482	-1.0865	-1.0064	-0.79744	-0.89362	-0.31559	-1.0709	-0.97781	-0.63229	-0.6762	-1.0267	-1.0765	-1.0299	0.90562	-1.4269	0.66594	-0.93726	-0.90004	-1.0638	-0.85805	-1.0315	-1.1357	-0.93426	0.44201	-0.67871	-0.94166	-1.2018	-0.7913	-0.99935	-0.9826	-0.94927	-0.90814	-0.9561	-1.0101	-0.90309	-1.4605	-0.9049	-0.88608	-1.0901	-0.83299
CMET	0.79936	0.51484	0.00032823	0.90929	0.35425	1.0565	0.94041	0.56361	-0.12259	0.70897	0.67809	0.64178	0.093583	0.78985	0.50443	0.7999	0.68201	0.81147	0.73158	1.3594	0.79026	0.86298	0.77447	0.70548	0.83403	0.38409	0.57011	-0.13754	0.93542	0.69008	0.35967	-0.40154	0.76139	0.2025	1.014	-0.24446	0.70669	0.95375	0.31978	0.37969	0.43603	0.54816	0.44203	1.0089	0.42995	0.92453	0.64954	0.61912	-0.046235	0.50922	0.18085	0.63738	0.87421	0.76554	0.36368	0.84945	0.29379	0.6833	0.69756	0.40864	0.85469	0.80451	0.73413	0.52744	0.99347	0.30557	0.17526	0.93743	-0.1698	0.68606	0.41913	0.69739	0.52539	1.0041	0.75898	-0.18006	0.44984	0.84584	0.97221	0.76124	0.28112	0.32109	-0.0040823	0.62955	0.79487	0.82822	0.68043	0.52859	1.2288	-0.32384	0.1333	0.30012	0.6967	0.67257	-0.52189	0.16466	0.77695	0.23838	0.64585	0.41527	-0.62315	0.67486	0.85901	0.32944	0.67835	0.86445	0.78719	-0.29595	0.81678	0.73667	0.74395	0.31763	1.0679	-0.18968	0.30223	0.3692	0.33123	0.39056	0.080986	0.11843	0.61835	0.55442	0.81458	0.68296	0.2994	0.46537	0.91739	0.45882	0.79942	-0.032038	0.74831	0.76757	-0.10646	0.81334	-0.19663	0.70137	0.57451	0.73396	0.35525	-0.46014	0.35218	0.91514	0.5474	0.79535	0.7587	0.81705	0.79959	0.16931	0.71323	0.27558	0.81673	0.90721	0.75529	0.73492	0.45865	0.75241	0.8124	0.16347	-0.66643	0.3983	0.92231	0.83561	0.51784	0.928	0.93082	0.90662	1.1069	-0.012883	0.39022	0.85765	0.30454	0.94154	0.92224	0.61819	0.9049	0.83816	0.89285	0.56972	0.86649	0.043112	0.97618	0.87854	0.42197	0.32475
CMET_pY1235	0.12667	0.35347	0.27527	0.17932	0.0122	0.31544	0.32132	0.12603	-0.052459	0.20755	0.24003	0.15621	0.017063	0.26307	0.14059	0.19369	0.16098	0.19736	0.1739	0.19616	0.18593	0.23415	0.20873	0.15832	0.25046	0.15489	0.11079	0.060653	0.27919	0.22958	0.14693	-0.072698	0.13881	0.30486	0.24639	-0.026411	0.061931	0.14962	0.090635	0.081084	0.12447	0.28899	0.11778	0.20046	0.14371	0.15196	0.12902	0.14888	0.24085	0.17531	0.27565	0.10457	0.15516	0.083428	0.21034	0.19472	0.16391	0.058694	0.032343	-0.07134	0.25718	0.15843	0.060012	0.14683	0.2804	0.14066	0.3807	0.22548	0.19243	0.14952	0.017369	0.14545	0.053199	0.21243	0.23216	0.023273	0.094039	0.072142	0.22825	0.25883	0.13195	0.17232	0.30261	0.065937	0.18638	0.16222	0.13551	0.14733	0.1495	-0.043189	-0.018318	0.049885	0.11762	0.18557	-0.0035421	0.14253	0.23708	0.042317	0.19587	0.10937	-0.026173	0.14017	0.16673	0.32852	0.1668	0.22016	0.11216	0.060996	0.17408	0.099092	0.19103	0.18746	0.088587	0.26283	0.096875	0.20958	0.11964	-0.020123	0.46611	0.038927	0.31586	0.13518	0.16725	0.2794	0.19819	0.31242	0.21655	0.082292	0.15007	0.24759	0.13666	0.1332	0.11612	0.16452	0.14029	0.14336	0.084485	0.16333	0.099194	-0.12565	0.039365	0.23678	0.046379	0.15353	0.14677	0.14135	0.18584	0.010141	0.10569	-0.022621	0.16714	0.17125	0.13886	0.12165	0.096767	0.10779	0.2393	0.1532	-0.011702	0.15875	0.19657	0.24433	0.049478	0.22191	0.19635	0.19144	0.28764	0.0577	0.17501	0.13923	0.13346	0.08878	0.17903	0.20673	0.18433	0.23375	0.23762	0.11969	0.16016	0.078271	0.26117	0.3045	0.0013367	0.14004
